City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Patricio,US,2020-11-26 00:50:30,28.02,-97.52,73.4,78,1,6.93
1,Atuona,PF,2020-11-26 00:50:30,-9.8,-139.03,77.72,76,85,16.28
2,Saint-Philippe,RE,2020-11-26 00:50:30,-21.36,55.77,75.2,83,0,3.36
3,Namatanai,PG,2020-11-26 00:50:30,-3.67,152.43,86.05,63,55,6.93
4,Vila Velha,BR,2020-11-26 00:50:30,-20.33,-40.29,73.99,94,40,3.36
5,Okhtyrka,UA,2020-11-26 00:50:30,50.31,34.9,36.95,91,96,2.89
6,Hambantota,LK,2020-11-26 00:50:30,6.12,81.12,73.4,100,40,1.12
7,Vaini,TO,2020-11-26 00:50:31,-21.2,-175.2,82.4,74,20,13.87
8,Te Anau,NZ,2020-11-26 00:50:31,-45.42,167.72,68.47,38,100,4.25
9,Provideniya,RU,2020-11-26 00:50:31,64.38,-173.3,32.0,94,40,11.18
10,Puerto Ayora,EC,2020-11-26 00:50:31,-0.74,-90.35,70.65,84,95,10.76
11,Thompson,CA,2020-11-26 00:50:31,55.74,-97.86,14.0,92,90,2.24
12,East London,ZA,2020-11-26 00:50:31,-33.02,27.91,64.45,70,100,2.06
13,Saskylakh,RU,2020-11-26 00:50:31,71.92,114.08,8.98,94,99,10.29
14,Fortuna,US,2020-11-26 00:50:31,40.6,-124.16,50.0,85,0,4.97
15,Sohbatpur,PK,2020-11-26 00:50:32,28.52,68.54,51.78,75,0,0.67
16,Sao Desiderio,BR,2020-11-26 00:50:32,-12.36,-44.97,70.12,75,3,3.98
17,Mahebourg,MU,2020-11-26 00:46:13,-20.41,57.7,75.2,88,75,16.11
18,Abaza,RU,2020-11-26 00:50:32,52.66,90.09,3.38,92,99,0.6
19,Pevek,RU,2020-11-26 00:50:32,69.7,170.31,28.6,96,100,18.07
20,Victoria,HK,2020-11-26 00:48:34,22.29,114.16,73.99,78,20,12.26
21,Sao Filipe,CV,2020-11-26 00:50:32,14.9,-24.5,78.94,68,100,8.75
22,Ushuaia,AR,2020-11-26 00:50:32,-54.8,-68.3,44.6,70,20,10.29
23,Mount Gambier,AU,2020-11-26 00:50:33,-37.83,140.77,64.4,48,0,16.11
24,Gazanjyk,TM,2020-11-26 00:50:33,39.24,55.52,40.68,67,99,1.23
25,Laguna,US,2020-11-26 00:50:33,38.42,-121.42,60.8,31,1,12.75
26,Barrow,US,2020-11-26 00:50:33,71.29,-156.79,8.6,84,90,35.57
27,Vakhrushevo,RU,2020-11-26 00:50:33,55.23,61.72,15.8,100,75,6.71
28,Rikitea,PF,2020-11-26 00:50:33,-23.12,-134.97,72.81,87,100,11.95
29,Mataura,NZ,2020-11-26 00:50:33,-46.19,168.86,63.0,68,100,1.99
30,Port Elizabeth,ZA,2020-11-26 00:46:40,-33.92,25.57,55.4,82,0,4.7
31,Znamenskoye,RU,2020-11-26 00:50:34,57.13,73.83,8.2,96,92,5.01
32,Busselton,AU,2020-11-26 00:50:34,-33.65,115.33,70.0,56,60,3.0
33,Georgetown,MY,2020-11-26 00:47:10,5.41,100.34,78.8,88,20,2.24
34,Bredasdorp,ZA,2020-11-26 00:50:34,-34.53,20.04,55.4,66,98,8.05
35,Bengkulu,ID,2020-11-26 00:50:34,-3.8,102.27,77.68,82,100,2.89
36,Sinnamary,GF,2020-11-26 00:50:34,5.38,-52.95,78.06,89,56,8.3
37,Bluff,NZ,2020-11-26 00:50:34,-46.6,168.33,63.0,68,100,1.99
38,Fort Nelson,CA,2020-11-26 00:50:35,58.81,-122.7,5.0,84,20,4.7
39,Esperance,AU,2020-11-26 00:50:35,-33.87,121.9,64.4,59,0,12.75
40,Sisimiut,GL,2020-11-26 00:50:35,66.94,-53.67,26.96,95,100,38.01
41,Yellowknife,CA,2020-11-26 00:48:23,62.46,-114.35,8.6,84,75,9.17
42,Sakaiminato,JP,2020-11-26 00:50:35,35.55,133.23,53.6,87,75,3.36
43,Clyde River,CA,2020-11-26 00:50:35,70.47,-68.59,5.0,84,75,13.87
44,Mar Del Plata,AR,2020-11-26 00:50:35,-38.0,-57.56,73.4,35,0,6.93
45,Nome,US,2020-11-26 00:50:35,64.5,-165.41,30.2,92,90,4.7
46,La Ronge,CA,2020-11-26 00:50:36,55.1,-105.28,26.6,79,100,12.75
47,Balkanabat,TM,2020-11-26 00:50:36,39.51,54.37,45.57,55,100,1.74
48,Camacha,PT,2020-11-26 00:50:36,33.08,-16.33,59.0,54,40,20.8
49,Sitka,US,2020-11-26 00:50:36,57.05,-135.33,44.6,70,90,16.11
50,Hithadhoo,MV,2020-11-26 00:50:36,-0.6,73.08,82.02,78,100,14.99
51,Punta Arenas,CL,2020-11-26 00:49:04,-53.15,-70.92,48.2,57,40,26.4
52,Charters Towers,AU,2020-11-26 00:50:36,-20.1,146.27,87.76,40,94,8.81
53,Albany,US,2020-11-26 00:50:04,42.6,-73.97,45.0,74,100,4.12
54,Puerto Baquerizo Moreno,EC,2020-11-26 00:50:36,-0.9,-89.6,70.61,83,64,13.04
55,Saint George,US,2020-11-26 00:48:27,37.1,-113.58,55.4,24,1,1.16
56,Flinders,AU,2020-11-26 00:50:37,-34.58,150.86,84.0,57,0,3.0
57,College,US,2020-11-26 00:50:37,64.86,-147.8,26.01,79,75,6.93
58,Sandnessjoen,NO,2020-11-26 00:50:37,66.02,12.63,39.2,100,81,1.12
59,Richards Bay,ZA,2020-11-26 00:50:37,-28.78,32.04,65.44,82,15,1.07
60,Nikolskoye,RU,2020-11-26 00:50:37,59.7,30.79,34.0,93,90,6.71
61,Kapaa,US,2020-11-26 00:50:37,22.08,-159.32,78.8,83,40,16.11
62,Tasiilaq,GL,2020-11-26 00:50:37,65.61,-37.64,24.42,92,100,21.03
63,Constitucion,CL,2020-11-26 00:45:56,-35.33,-72.42,57.52,68,0,17.72
64,Mayskiy,RU,2020-11-26 00:50:38,47.69,40.1,35.6,93,40,8.95
65,Juneau,US,2020-11-26 00:50:38,58.3,-134.42,39.2,86,75,18.34
66,Kodiak,US,2020-11-26 00:48:22,57.79,-152.41,42.8,52,20,14.99
67,Biak,ID,2020-11-26 00:50:38,-0.91,122.88,84.34,63,100,0.65
68,Davenda,RU,2020-11-26 00:50:38,53.56,119.32,4.17,84,0,2.91
69,Neiafu,TO,2020-11-26 00:50:38,-18.65,-173.98,80.6,83,90,9.17
70,Olinda,BR,2020-11-26 00:47:08,-8.01,-34.86,78.8,69,40,10.29
